checklist_id,observer_id,observation_count,species_observed,state_code,locality_id,latitude,longitude,protocol_type,all_species_reported,observation_date,year,day_of_year,hours_of_day,effort_hours,effort_distance_km,effort_speed_kmph,number_observers
S102308461,obs1496576,0,FALSE,CO-CAL,L10116299,5.319791,-74.829287,Traveling,1,2022-01-04,2022,4,7.5,2.9833333333333334,1.52,0.5094972067039106,1
S61250519,obs1317617,0,FALSE,CO-CAL,L10124536,5.1038053,-75.4827368,Stationary,1,2019-01-07,2019,7,16,1.5,0,0,1
S61260981,obs1317617,NA,TRUE,CO-CAL,L10124536,5.1038053,-75.4827368,Traveling,1,2019-01-08,2019,8,7,3.5,2.5,0.7142857142857143,4
S66092552,obs1236380,0,FALSE,CO-CAL,L10133603,5.0632547,-75.8830633,Traveling,1,2020-03-22,2020,82,8.083333333333334,4.116666666666666,4.27,1.037246963562753,1
S66021474,obs1236380,0,FALSE,CO-CAL,L10133603,5.0632547,-75.8830633,Traveling,1,2020-03-20,2020,80,17.75,0.6666666666666666,0.55,0.8250000000000001,1
S65223196,obs1236380,0,FALSE,CO-CAL,L10133603,5.0632547,-75.8830633,Traveling,1,2020-02-27,2020,58,17.7,0.6,0.28,0.46666666666666673,1
S65292976,obs1236380,0,FALSE,CO-CAL,L10133603,5.0632547,-75.8830633,Traveling,1,2020-02-29,2020,60,16.916666666666668,1.45,1.17,0.8068965517241379,1
S65989930,obs1236380,0,FALSE,CO-CAL,L10133603,5.0632547,-75.8830633,Traveling,1,2020-03-19,2020,79,17.666666666666668,1,0.97,0.97,1
S65879549,obs1236380,0,FALSE,CO-CAL,L10133603,5.0632547,-75.8830633,Traveling,1,2020-03-16,2020,76,17.716666666666665,0.75,0.72,0.96,1
S64923800,obs1236380,0,FALSE,CO-CAL,L10133603,5.0632547,-75.8830633,Traveling,1,2020-02-23,2020,54,16.783333333333335,1.6333333333333333,1.69,1.0346938775510204,1
S62905165,obs1025697,0,FALSE,CO-CAL,L10170475,5.4425585,-75.6927229,Stationary,1,2020-01-02,2020,2,8.266666666666667,1.25,0,0,1
S62874424,obs1025697,0,FALSE,CO-CAL,L10170475,5.4425585,-75.6927229,Stationary,1,2020-01-01,2020,1,15.166666666666666,0.9,0,0,1
S62845050,obs1025697,0,FALSE,CO-CAL,L10170475,5.4425585,-75.6927229,Stationary,1,2020-01-01,2020,1,9.883333333333333,0.6166666666666667,0,0,1
S62948574,obs729770,0,FALSE,CO-CAL,L10179631,5.0576242,-75.4598412,Traveling,1,2020-01-03,2020,3,7.616666666666667,0.6166666666666667,2.36,3.8270270270270266,1
S65314058,obs729770,1,TRUE,CO-CAL,L10179631,5.0576242,-75.4598412,Traveling,1,2020-03-01,2020,61,7.666666666666667,2.683333333333333,6.94,2.5863354037267086,1
S63982316,obs729770,0,FALSE,CO-CAL,L10179631,5.0576242,-75.4598412,Traveling,1,2020-01-31,2020,31,17.783333333333335,0.5333333333333333,2.81,5.26875,1
S80679680,obs914933,0,FALSE,CO-CAL,L10195057,4.9510867,-75.6146917,Traveling,1,2021-02-02,2021,33,7.4,1.35,4.11,3.0444444444444443,1
S102882368,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-18,2022,49,12.583333333333334,0.25,0.16,0.64,1
S64311729,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-02-10,2020,41,8.533333333333333,0.06666666666666667,0.36,5.3999999999999995,1
S102193981,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-07,2022,38,6.233333333333333,0.45,0.9,2,1
S102854336,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-18,2022,49,7.516666666666667,2.6,0.27,0.10384615384615385,1
S104022250,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-02,2022,61,7.016666666666667,0.75,0.42,0.5599999999999999,1
S105315424,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-21,2022,80,9.616666666666667,3.966666666666667,0.61,0.153781512605042,1
S105758623,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-03-27,2022,86,6.916666666666667,2,0,0,1
S102780677,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-10,2022,41,16.6,0.16666666666666666,0.25,1.5,1
S82236240,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2021-02-23,2021,54,19.116666666666667,0.1,0,0,1
S65450386,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-03-05,2020,65,6.483333333333333,0.06666666666666667,0.4,6,1
S105758601,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-03-23,2022,82,12.233333333333333,0.25,0,0,1
S66017581,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2020-03-20,2020,80,16.2,0.4,0,0,1
S63916008,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-01-29,2020,29,16.366666666666667,0.03333333333333333,0.13,3.9000000000000004,1
S63353889,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-01-13,2020,13,10.816666666666666,0.11666666666666667,0.22,1.8857142857142857,1
S64346766,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-02-11,2020,42,5.816666666666666,0.08333333333333333,0.68,8.160000000000002,1
S83764032,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2021-03-20,2021,79,15.95,1.5,0.74,0.49333333333333335,1
S102161306,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-06,2022,37,15.95,0.2,0.85,4.25,1
S102316402,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-09,2022,40,7.333333333333333,0.06666666666666667,0.23,3.45,1
S100678935,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-01-08,2022,8,13.066666666666666,0.5833333333333334,0.23,0.3942857142857143,1
S102194445,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-07,2022,38,7.016666666666667,0.15,0.56,3.733333333333334,1
S101991245,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-03,2022,34,6.35,0.25,0.07,0.28,1
S100219487,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-01-06,2022,6,8.466666666666667,2.1166666666666667,0,0,1
S79034636,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2021-01-10,2021,10,15.1,0.9833333333333333,0.18,0.18305084745762712,1
S104223775,obs820658,1,TRUE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-03-05,2022,64,13.016666666666667,0.35,0,0,1
S83711548,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2021-03-20,2021,79,5.95,0.05,0,0,1
S102045336,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-05,2022,36,5.866666666666667,0.9,0.6,0.6666666666666666,1
S105362155,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-22,2022,81,8.533333333333333,1.05,0.17,0.1619047619047619,1
S63778411,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-01-25,2020,25,17.916666666666668,0.13333333333333333,0.35,2.625,1
S65832900,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-03-15,2020,75,14.633333333333333,0.05,0.14,2.8000000000000003,1
S66061600,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2020-03-21,2020,81,16.6,0.45,0,0,1
S101770561,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-01-31,2022,31,6.266666666666667,0.4166666666666667,0.41,0.9839999999999999,1
S102674014,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-15,2022,46,6.966666666666667,0.23333333333333334,0.26,1.1142857142857143,1
S101925306,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-02-02,2022,33,17.716666666666665,0.2,0,0,1
S104480365,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-09,2022,68,6.866666666666667,0.1,0.33,3.3,1
S101990940,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-04,2022,35,6.933333333333334,0.8666666666666667,0.66,0.7615384615384615,1
S105153998,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-19,2022,78,9.15,4.066666666666666,0.82,0.20163934426229507,1
S100245142,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-01-06,2022,6,16.816666666666666,0.06666666666666667,0,0,1
S102780670,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-02-07,2022,38,7.366666666666666,0.08333333333333333,0,0,1
S102779785,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-17,2022,48,6.933333333333334,1.4333333333333333,0.32,0.22325581395348837,1
S102780708,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-02-12,2022,43,13.266666666666667,0.13333333333333333,0,0,1
S102780717,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-02-15,2022,46,14.266666666666667,0.05,0,0,1
S99870797,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-01-01,2022,1,8.083333333333334,1.8333333333333333,0,0,1
S105827047,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-29,2022,88,6.35,2,0.41,0.205,1
S104442609,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-08,2022,67,13.883333333333333,0.05,0.12,2.4,1
S83623654,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2021-03-18,2021,77,12.466666666666667,0.43333333333333335,0.47,1.0846153846153845,1
S64178131,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-02-06,2020,37,9.1,0.4166666666666667,0.46,1.104,1
S63656992,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-01-22,2020,22,6.966666666666667,0.11666666666666667,0.32,2.742857142857143,1
S102085250,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-05,2022,36,13.166666666666666,0.31666666666666665,0.73,2.305263157894737,1
S82929928,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2021-03-07,2021,66,7.366666666666666,2.1666666666666665,0.16,0.07384615384615385,1
S64008697,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-02-01,2020,32,12.9,0.36666666666666664,0.18,0.4909090909090909,1
S81750476,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2021-02-16,2021,47,13.533333333333333,0.16666666666666666,0.4,2.4000000000000004,1
S104491491,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-03-09,2022,68,7.8,0.08333333333333333,0,0,1
S105886170,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-30,2022,89,7.016666666666667,1.5166666666666666,0.49,0.3230769230769231,1
S103562975,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-23,2022,54,6.85,2.5833333333333335,0.4,0.15483870967741936,1
S63898601,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2020-01-29,2020,29,6.466666666666667,0.08333333333333333,0.42,5.04,1
S104250114,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-05,2022,64,17.8,0.08333333333333333,0.58,6.96,1
S101652311,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-01-29,2022,29,9.3,0.25,0,0,1
S104250014,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-04,2022,63,12.6,0.25,1.21,4.84,1
S101825267,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-01,2022,32,6.9,0.08333333333333333,0.34,4.080000000000001,1
S105919355,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-30,2022,89,17.333333333333332,0.06666666666666667,0.19,2.85,1
S103622050,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Stationary,1,2022-02-24,2022,55,8.483333333333333,0.9833333333333333,0,0,1
S84177418,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2021-03-27,2021,86,8.45,0.18333333333333332,0.21,1.1454545454545455,1
S102260538,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-02-08,2022,39,6.866666666666667,0.9333333333333333,1.04,1.1142857142857143,1
S104864240,obs820658,0,FALSE,CO-CAL,L10228444,5.0661042,-75.484263,Traveling,1,2022-03-15,2022,74,6.733333333333333,1.5,0.67,0.4466666666666667,1
S64391238,obs793173,1,TRUE,CO-CAL,L10236860,5.3805349,-75.1387471,Stationary,1,2020-02-12,2020,43,11.783333333333333,0.8666666666666667,0,0,1
S64903238,obs729770,0,FALSE,CO-CAL,L10260729,4.9600174,-75.3619116,Traveling,1,2020-02-23,2020,54,8.6,3.066666666666667,1.26,0.41086956521739126,1
S63808202,obs729770,0,FALSE,CO-CAL,L10260729,4.9600174,-75.3619116,Traveling,1,2020-01-26,2020,26,9.166666666666666,4.683333333333334,0.73,0.15587188612099642,1
S74311497,obs675136,0,FALSE,CO-CAL,L10268844,5.1228638,-75.5008949,Stationary,1,2020-01-15,2020,15,9.683333333333334,0.3333333333333333,0,0,1
S78184893,obs543784,0,FALSE,CO-CAL,L10275081,5.066506,-75.5923309,Traveling,1,2020-01-06,2020,6,5.75,0.03333333333333333,0.64,19.2,1
S79041446,obs842354,0,FALSE,CO-CAL,L10277683,5.4305407,-75.0386357,Traveling,1,2020-02-17,2020,48,8.566666666666666,0.45,0.38,0.8444444444444444,1
S104970519,obs842354,0,FALSE,CO-CAL,L10278177,5.4420579,-75.0515491,Traveling,1,2022-03-16,2022,75,10.983333333333333,1.2166666666666666,1.46,1.2000000000000002,1
S62941370,obs1236380,0,FALSE,CO-CAL,L10293621,5.0592464,-75.8666164,Traveling,1,2020-01-02,2020,2,6.966666666666667,2.283333333333333,1.4,0.6131386861313869,2
S64536939,obs1236380,0,FALSE,CO-CAL,L10293621,5.0592464,-75.8666164,Traveling,1,2020-02-15,2020,46,16.416666666666668,2.05,1.21,0.5902439024390245,1
S100052816,obs960565,1,TRUE,CO-CAL,L10295724,4.936789,-75.48234,Traveling,1,2022-01-03,2022,3,17.033333333333335,4,3.219,0.80475,5
S100299168,obs960565,0,FALSE,CO-CAL,L10295724,4.936789,-75.48234,Traveling,1,2022-01-07,2022,7,15.883333333333333,3,1.287,0.429,2
S64484796,obs621924,0,FALSE,CO-CAL,L10297591,4.9957601,-75.4230852,Traveling,1,2020-02-14,2020,45,7.5,5,10,2,3
S102198630,obs721680,0,FALSE,CO-CAL,L10315494,4.9354051,-75.4796027,Stationary,1,2022-01-21,2022,21,9.5,2,0,0,2
S63083547,obs884204,0,FALSE,CO-CAL,L10322640,5.0794641,-75.6838663,Stationary,1,2020-01-05,2020,5,9.866666666666667,2,0,0,1
S63044441,obs884204,0,FALSE,CO-CAL,L10322640,5.0794641,-75.6838663,Stationary,1,2020-01-04,2020,4,6.533333333333333,3,0,0,1
S62877616,obs884204,0,FALSE,CO-CAL,L10322640,5.0794641,-75.6838663,Stationary,1,2020-01-01,2020,1,7.7,3,0,0,1
S63019361,obs621924,0,FALSE,CO-CAL,L10359222,5.0552963,-75.5672388,Traveling,1,2020-01-04,2020,4,17.733333333333334,0.13333333333333333,0.33,2.475,1
S83576241,obs1017330,0,FALSE,CO-CAL,L10374505,5.0644517,-75.5166033,Stationary,1,2021-03-17,2021,76,14.883333333333333,0.06666666666666667,0,0,1
S63039499,obs1017330,0,FALSE,CO-CAL,L10374505,5.0644517,-75.5166033,Stationary,1,2020-01-05,2020,5,8.6,0.45,0,0,1
S83717691,obs1017330,0,FALSE,CO-CAL,L10374505,5.0644517,-75.5166033,Stationary,1,2021-03-20,2021,79,8.216666666666667,0.13333333333333333,0,0,1
S62923935,obs1291063,0,FALSE,CO-CAL,L10381997,5.5135367,-74.68845,Traveling,1,2020-01-01,2020,1,14.816666666666666,0.5166666666666667,0.45,0.8709677419354838,1
S62910190,obs1073755,8,TRUE,CO-CAL,L10402403,5.0365829,-75.4791004,Traveling,1,2020-01-02,2020,2,7.95,2.433333333333333,0.8,0.32876712328767127,1
S62938870,obs669195,0,FALSE,CO-CAL,L10408174,5.0772279,-75.5280185,Traveling,1,2020-01-02,2020,2,18.583333333333332,0.4166666666666667,1,2.4,2
S62948374,obs1025697,0,FALSE,CO-CAL,L10409874,5.4424214,-75.6924809,Stationary,1,2020-01-03,2020,3,6.9,1.2,0,0,1
S62948441,obs1025697,1,TRUE,CO-CAL,L10409885,5.4421087,-75.6933093,Stationary,1,2020-01-02,2020,2,15.416666666666666,0.4166666666666667,0,0,1
S64740404,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-19,2020,50,6.183333333333334,0.3333333333333333,0,0,1
S65232910,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-28,2020,59,6.416666666666667,0.23333333333333334,0,0,1
S64171450,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-06,2020,37,6.45,0.16666666666666666,0,0,1
S65482563,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Traveling,1,2020-03-06,2020,66,6.35,0.45,0.57,1.2666666666666666,1
S66193246,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-03-25,2020,85,7.233333333333333,0.11666666666666667,0,0,1
S66229964,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-03-26,2020,86,6.2,0.13333333333333333,0,0,1
S63656738,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-22,2020,22,6.333333333333333,0.2833333333333333,0,0,1
S63469328,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-17,2020,17,6.65,0.08333333333333333,0,0,1
S63567303,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-19,2020,19,17.883333333333333,0.16666666666666666,0,0,1
S64309837,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-10,2020,41,6.333333333333333,0.3333333333333333,0,0,1
S63720881,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-24,2020,24,6.283333333333333,0.38333333333333336,0,0,1
S63581963,obs729770,1,TRUE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-20,2020,20,6.416666666666667,0.48333333333333334,0,0,1
S64346492,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-11,2020,42,6.266666666666667,0.36666666666666664,0,0,1
S63183589,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-08,2020,8,17.966666666666665,0.05,0,0,1
S65631438,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-03-09,2020,69,18.133333333333333,0.7833333333333333,0,0,1
S66393415,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-03-30,2020,90,6.35,0.2,0,0,1
S63691201,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-23,2020,23,6.366666666666666,0.11666666666666667,0,0,1
S62988390,obs729770,1,TRUE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-04,2020,4,6.666666666666667,0.2,0,0,1
S63381509,obs729770,1,TRUE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-14,2020,14,6.533333333333333,0.4166666666666667,0,0,1
S63122457,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-07,2020,7,6.5,0.31666666666666665,0,0,1
S63411218,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-15,2020,15,6.266666666666667,0.3333333333333333,0,0,1
S66122467,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Traveling,1,2020-03-23,2020,83,6.15,0.3,0.06,0.2,1
S64777963,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-20,2020,51,6.666666666666667,0.23333333333333334,0,0,1
S64632760,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-17,2020,48,6.333333333333333,0.23333333333333334,0,0,1
S66078310,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-03-22,2020,82,6.15,0.26666666666666666,0,0,1
S64198315,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-07,2020,38,6.55,0.16666666666666666,0,0,1
S64412762,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-13,2020,44,6.433333333333334,0.23333333333333334,0,0,1
S64491781,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-15,2020,46,6.666666666666667,0.4166666666666667,0,0,1
S63898631,obs729770,1,TRUE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-29,2020,29,6.35,0.25,0,0,1
S64226959,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Traveling,1,2020-02-08,2020,39,6.416666666666667,0.7666666666666667,0.59,0.7695652173913042,1
S65072179,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-26,2020,57,6.283333333333333,0.23333333333333334,0,0,1
S64037445,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-02,2020,33,6.4,0.43333333333333335,0,0,1
S63835695,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-27,2020,27,6.683333333333334,0.13333333333333333,0,0,1
S63196959,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-01-09,2020,9,6.5,0.3333333333333333,0,0,1
S65037493,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-25,2020,56,6.533333333333333,0.16666666666666666,0,0,1
S65176979,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Stationary,1,2020-02-27,2020,58,6.383333333333334,0.25,0,0,1
S65307031,obs729770,0,FALSE,CO-CAL,L10416999,5.0584813,-75.4844772,Traveling,1,2020-03-01,2020,61,7.016666666666667,0.08333333333333333,0.1,1.2000000000000002,1
