scientificName,taxon,kingdom,earliestEventDate,earliestLocation,earliestISO3,totalCountryCount,habitat,establishmentMeans,isInvasiveAnywhere,originalDatabase
Acanthospermum hispidum DC.,Acanthospermum hispidum,Plantae,1801,United States,USA,45,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Acanthus mollis L.,Acanthus mollis,Plantae,1500,United Kingdom,GBR,15,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
"Acartia tonsa Dana, 1849",Acartia tonsa,Animalia,NA,NA,NA,2,terrestrial,introduced,TRUE,GRIIS
"Accipiter rufiventris A.Smith, 1830",Accipiter rufiventris,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acer campestre L.,Acer campestre,Plantae,1500,Ireland,IRL,9,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; Artsdatabanken
Acer ginnala Maxim.,Acer ginnala,Plantae,1860,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; Artsdatabanken
Acer negundo L.,Acer negundo,Plantae,1500,Bulgaria,BGR,49,freshwater; terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Acer negundo subsp. negundo,Acer negundo negundo,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acer palmatum Thunb.,Acer palmatum,Plantae,1500,Italy,ITA,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Acer platanoides L.,Acer platanoides,Plantae,1500,United Kingdom,GBR,8,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acer pseudoplatanus L.,Acer pseudoplatanus,Plantae,1500,United Kingdom,GBR,19,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; Artsdatabanken
Acer tataricum L.,Acer tataricum,Plantae,1805,Estonia,EST,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; Artsdatabanken
Aceria kuko (Kishida),Aceria kuko,Animalia,2011,Germany,DEU,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,EPPO Reporting; USRIIS
"Aceria tristriata (Nalepa, 1890)",Aceria tristriata,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,GRIIS
"Acheilognathus cyanostigma Jordan & Fowler, 1903",Acheilognathus cyanostigma,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Acheilognathus macropterus (Bleeker, 1871)",Acheilognathus macropterus,Animalia,2001,Japan,JPN,1,brackish; freshwater,introduced,TRUE,FirstRecords; GRIIS
"Acheilognathus rhombeus (Temminck & Schlegel, 1846)",Acheilognathus rhombeus,Animalia,1974,Japan,JPN,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Acheilognathus tabira Jordan & Thompson, 1914",Acheilognathus tabira,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Acheilognathus typus (Bleeker, 1863)",Acheilognathus typus,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Acheta domesticus Linnaeus, 1758; Acheta domesticus (Linnaeus, 1758)",Acheta domesticus,Animalia,1850,Norway,NOR,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; TrIAS; FirstRecords; GRIIS
Achillea filipendulina Lam.,Achillea filipendulina,Plantae,1500,Italy,ITA,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Achillea millefolium L.,Achillea millefolium,Plantae,1856,Indonesia,IDN,21,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Achillea nobilis L.,Achillea nobilis,Plantae,1600,Sweden,SWE,11,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Achillea ptarmica L.,Achillea ptarmica,Plantae,1700,Sweden,SWE,6,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
"Achroia grisella (Fabricius, 1794)",Achroia grisella,Animalia,1565,United States,USA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Achyranthes aspera L.,Achyranthes aspera,Plantae,1652,South Africa,ZAF,39,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Achyranthes aspera var. aspera,Achyranthes aspera aspera,Plantae,NA,NA,NA,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Achyranthes aspera var. indica L.,Achyranthes aspera indica,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,GRIIS
Achyranthes aspera var. pubescens (Moq.) C.C.Towns.,Achyranthes aspera pubescens,Plantae,NA,NA,NA,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Achyranthes bidentata Blume,Achyranthes bidentata,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Achyranthes sicula (L.) All.,Achyranthes sicula,Plantae,1887,Spain,ESP,6,terrestrial,introduced,TRUE,GRIIS; FirstRecords
"Acipenser baerii Brandt, 1869",Acipenser baerii,Animalia,1956,Russia,RUS,20,brackish; freshwater,introduced,TRUE,TrIAS; FirstRecords; GRIIS
"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",Acipenser gueldenstaedtii,Animalia,1962,Estonia; Latvia,EST; LVA,12,brackish; freshwater; marine,introduced,TRUE,TrIAS; FirstRecords; GRIIS
"Acipenser stellatus Pallas, 1771",Acipenser stellatus,Animalia,1930,United Kingdom,GBR,6,brackish; freshwater; marine,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Acipenser transmontanus Richardson, 1836",Acipenser transmontanus,Animalia,1987,Italy,ITA,3,brackish; freshwater; marine,introduced,TRUE,FirstRecords; GRIIS
Acmella radicans (Jacq.) R.K.Jansen,Acmella radicans,Plantae,1969,India,IND,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS; B.Shrestha_NPL_2026
Acmella radicans var. debilis (Kunth) R.K.Jansen,Acmella radicans debilis,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acmella uliginosa (Sw.) Cass.,Acmella uliginosa,Plantae,1869,Indonesia,IDN,13,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Aconitum ×cammarum L.; Aconitum × cammarum L.,Aconitum cammarum,Plantae,1500,United Kingdom,GBR,8,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
Aconitum napellus L.,Aconitum napellus,Plantae,1807,Estonia,EST,9,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; Artsdatabanken
Acorus calamus L.,Acorus calamus,Plantae,1500,Latvia,LVA,34,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Acridotheres burmannicus (Jerdon, 1862)",Acridotheres burmannicus,Animalia,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Acridotheres cristatellus (Linnaeus, 1758)",Acridotheres cristatellus,Animalia,1850,Philippines,PHL,9,terrestrial,introduced,TRUE,SINAS; TrIAS; FirstRecords; GRIIS
"Acridotheres fuscus (Wagler, 1827)",Acridotheres fuscus,Animalia,1850,India,IND,7,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Acridotheres ginginianus (Latham, 1790)",Acridotheres ginginianus,Animalia,1937,Germany,DEU,9,freshwater; terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
"Acridotheres javanicus Cabanis, 1851",Acridotheres javanicus,Animalia,1915,Singapore,SGP,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Acridotheres tristis (Linnaeus, 1766)",Acridotheres tristis,Animalia,1750,Madagascar,MDG,44,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Acrocarpus fraxinifolius Wight & Arn.,Acrocarpus fraxinifolius,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acroceras zizanioides (Kunth) Dandy,Acroceras zizanioides,Plantae,NA,NA,NA,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acrostichum aureum L.,Acrostichum aureum,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Actinidia arguta (Siebold and Zucc.) Planch. ex Miq.; Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,Actinidia arguta,Plantae,1993,Sweden,SWE,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Actinidia chinensis Planch.,Actinidia chinensis,Plantae,1500,Italy,ITA,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
"Aculops lycopersici (Tryon, 1917)",Aculops lycopersici,Animalia,NA,NA,NA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; GRIIS
"Acyrthosiphon caraganae (Cholodkovsky, 1907); Acyrthosiphon caraganae (Cholodkovsky, 1908)",Acyrthosiphon caraganae,Animalia,1899,United States,USA,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; GRIIS
"Acyrthosiphon primulae ; Acyrthosiphon primulae (Theobald, 1913)",Acyrthosiphon primulae,Animalia,1877,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; GRIIS
"Adelges cooleyi (Gillette, 1907)",Adelges cooleyi,Animalia,NA,NA,NA,3,terrestrial,introduced,TRUE,GRIIS
"Adelges nordmannianae (Eckstein); Adelges nordmannianae (Eckstein, 1890)",Adelges nordmannianae,Animalia,1840,Germany,DEU,8,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,"SINAS, DAISIE; USRIIS; GRIIS; Artsdatabanken"
"Adelges piceae (Ratzeburg, 1844)",Adelges piceae,Animalia,1895,United Kingdom,GBR,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; GRIIS
Adenanthera pavonina L.,Adenanthera pavonina,Plantae,1843,Australia,AUS,57,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Adenia cissampeloides (Planch. ex Hook.) Harms,Adenia cissampeloides,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Adenium obesum (Forssk.) Roem. & Schult.,Adenium obesum,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Adenostemma platyphyllum Cass.,Adenostemma platyphyllum,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Adenostemma viscosum J.R.Forst. & G.Forst.,Adenostemma viscosum,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Adiantum capillus-veneris L.,Adiantum capillus-veneris,Plantae,1861,Chile,CHL,6,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
Adiantum hispidulum Sw.,Adiantum hispidulum,Plantae,1923,United States,USA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Adiantum macrophyllum Sw.,Adiantum macrophyllum,Plantae,2014,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Adiantum raddianum C. Presl; Adiantum raddianum C.Presl,Adiantum raddianum,Plantae,1905,Zimbabwe,ZWE,16,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; GRIIS; FirstRecords
Adiantum trapeziforme L.,Adiantum trapeziforme,Plantae,NA,NA,NA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Adistemia watsoni (Wollaston, 1871)",Adistemia watsoni,Animalia,1959,Czechia,CZE,5,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS; Artsdatabanken
Adonis aestivalis L.,Adonis aestivalis,Plantae,-2200,Czechia,CZE,11,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Adoretus compressus (Weber, 1801)",Adoretus compressus,Animalia,NA,NA,NA,1,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
"Adoretus versutus Harold, 1869",Adoretus versutus,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Aedeomyia squamipennis (Lynch Arribálzaga, 1878)",Aedeomyia squamipennis,Animalia,2016,United States,USA,1,brackish; freshwater; marine; terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
"Aedes aegypti (Linnaeus, 1762)",Aedes aegypti,Animalia,1700,United States,USA,46,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Aedes albopictus (Skuse, 1895); Aedes albopictus (Skuse, 1894)",Aedes albopictus,Animalia,1902,United States,USA,69,brackish; freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Aedes japonicus japonicus,Aedes japonicus japonicus,Animalia,NA,NA,NA,3,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Aedes notoscriptus (Skuse, 1889)",Aedes notoscriptus,Animalia,1918,New Zealand,NZL,2,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Aegilops cylindrica Host,Aegilops cylindrica,Plantae,1500,Switzerland,CHE,23,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Aegilops geniculata Roth,Aegilops geniculata,Plantae,NA,NA,NA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Aegilops tauschii Coss.,Aegilops tauschii,Plantae,1955,China,CHN,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Aegilops triuncialis L.,Aegilops triuncialis,Plantae,NA,NA,NA,5,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Aegle marmelos (L.) Corrêa,Aegle marmelos,Plantae,1889,Indonesia,IDN,6,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Aegopodium podagraria L.,Aegopodium podagraria,Plantae,1500,United Kingdom,GBR,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Aeonium arboreum (L.) Webb and Berthel.; Aeonium arboreum (L.) Webb & Berthel.,Aeonium arboreum,Plantae,1500,Italy,ITA,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Aeonium haworthii Webb and Berthel.; Aeonium haworthii Salm-Dyck ex Webb & Berthel.,Aeonium haworthii,Plantae,1500,Italy,ITA,5,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Aerva javanica (Burm.fil.) Juss.,Aerva javanica,Plantae,1835,Australia,AUS,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS; M.McGeoch_AUS_2025
Aeschynomene americana L.,Aeschynomene americana,Plantae,1912,Indonesia,IDN,24,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS; B.Shrestha_NPL_2026
Aeschynomene elaphroxylon (Guill. & Perr.) Taub.,Aeschynomene elaphroxylon,Plantae,1905,Madagascar,MDG,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Aeschynomene indica L.,Aeschynomene indica,Plantae,1822,Indonesia,IDN,17,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
