"cv_0","id","scientific_name","lon","lat","pa","bio1","bio12","bio15","bio7","elevation_nad83","bio13"
4,"156395491","Desmognathus ochrophaeus",-654610.877566945,-136384.591774793,"1",2818,10421,205,345,369.719360351562,1135
1,"156395777","Desmognathus ochrophaeus",-1281900.15242204,-649759.016710771,"1",2850,13248,167,297,743.345581054688,1439
5,"156408488","Desmognathus ochrophaeus",-499534.19002059,5727.642475278,"1",2784,14857,138,360,699.873779296875,1467
2,"156413866","Desmognathus ochrophaeus",-926979.609864644,-355101.003026523,"1",2830,12872,130,327,535.47119140625,1291
4,"156418371","Desmognathus ochrophaeus",-950457.896031298,-423390.175489601,"1",2823,14638,147,317,743.980895996094,1514
2,"156420562","Desmognathus ochrophaeus",-819362.285917366,-142184.384485113,"1",2804,12629,195,335,578.684020996094,1386
4,"156764441","Desmognathus ochrophaeus",-611234.43278992,-99506.5035874953,"1",2803,12813,146,337,521.741455078125,1327
5,"156771436","Desmognathus ochrophaeus",-624212.781544553,-104098.467633727,"1",2803,12955,156,338,557.41845703125,1354
3,"156774798","Desmognathus ochrophaeus",-1021987.6123372,-543262.683477117,"1",2826,14259,141,314,835.444030761719,1526
1,"156786464","Desmognathus ochrophaeus",-1221736.46218741,-667925.73146554,"1",2834,13003,183,295,893.065612792969,1453
4,"156787742","Desmognathus ochrophaeus",-462631.075386334,-182531.074947557,"1",2806,16020,114,340,561.392639160156,1598
1,"156788926","Desmognathus ochrophaeus",-1091371.18903507,-479236.966921403,"1",2855,12958,186,308,350.333923339844,1474
2,"156794022","Desmognathus ochrophaeus",-1085698.12481941,-186950.10941627,"1",2832,11396,143,333,312.942047119141,1134
2,"156796097","Desmognathus ochrophaeus",-646021.541747228,-78892.8887162326,"1",2818,12218,148,342,272.380798339844,1202
3,"156800960","Desmognathus ochrophaeus",-495216.398333011,5136.28718959659,"1",2787,12876,132,363,541.136108398438,1265
2,"156354307","Desmognathus ochrophaeus",-815310.297827489,-248561.548558084,"1",2815,14267,154,334,571.221496582031,1455
5,"156355232","Desmognathus ochrophaeus",-970429.103131583,-175143.644849379,"1",2820,12757,171,336,387.511138916016,1313
4,"156361318","Desmognathus ochrophaeus",-692401.225787802,-141941.094746261,"1",2829,8330,221,351,172.924758911133,966
5,"156361759","Desmognathus ochrophaeus",-975506.22383256,-480259.066324111,"1",2825,15267,179,311,843.775939941406,1701
1,"156724413","Desmognathus ochrophaeus",-893313.87803717,-196813.55288922,"1",2817,13184,178,336,476.27734375,1421
5,"156735074","Desmognathus ochrophaeus",-621949.731136031,-103304.834783727,"1",2802,13846,154,337,553.411865234375,1445
5,"156865247","Desmognathus ochrophaeus",-821797.570081691,-98623.3809677645,"1",2809,11828,153,337,451.120422363281,1187
5,"156866049","Desmognathus ochrophaeus",-815405.884204146,-246919.153346321,"1",2813,14067,153,333,530.178894042969,1429
3,"156870470","Desmognathus ochrophaeus",-425169.635187996,-77634.2616632805,"1",2821,11742,104,372,97.789421081543,1128
4,"156871961","Desmognathus ochrophaeus",-1082416.8644882,-651526.139594474,"1",2852,10032,146,312,611.788024902344,1075
5,"156716473","Desmognathus ochrophaeus",-990675.164186882,-400278.267104229,"1",2845,11254,164,317,347.451019287109,1210
4,"156907360","Desmognathus ochrophaeus",-842280.700053904,-81795.7317351803,"1",2817,12079,119,330,334.607788085938,1175
2,"156907605","Desmognathus ochrophaeus",-1273644.30147697,-646331.109471475,"1",2845,12793,170,294,765.946655273438,1405
1,"156910935","Desmognathus ochrophaeus",-985563.214685941,-518243.021689894,"1",2807,15306,169,308,1152.07104492188,1679
3,"156816032","Desmognathus ochrophaeus",-609184.545011072,-86372.1618852861,"1",2816,11834,135,343,331.650207519531,1186
5,"156817435","Desmognathus ochrophaeus",-798811.05077958,-121191.815343691,"1",2813,10558,197,341,390.37451171875,1134
2,"157293327","Desmognathus ochrophaeus",-1053377.63461828,-552826.192925399,"1",2814,14749,152,308,1113.70776367188,1586
4,"157294468","Desmognathus ochrophaeus",-624457.624118115,-101232.739090489,"1",2805,12216,155,339,490.196472167969,1272
1,"157399436","Desmognathus ochrophaeus",-1281980.74623105,-648804.161056527,"1",2849,13121,167,296,696.605834960938,1427
1,"157400079","Desmognathus ochrophaeus",-417880.58492728,3282.93092560973,"1",2799,10359,119,378,313.152709960938,1000
3,"157400595","Desmognathus ochrophaeus",-694393.753731987,-139379.459998955,"1",2823,8761,218,344,230.940002441406,1008
5,"157400600","Desmognathus ochrophaeus",-541104.375164296,-224279.211141018,"1",2823,12214,114,348,350.916198730469,1158
3,"157400701","Desmognathus ochrophaeus",-1417204.66986255,-601133.044882224,"1",2870,12671,128,311,340.960784912109,1329
4,"157402847","Desmognathus ochrophaeus",-622789.60147638,-233892.387340907,"1",2828,10091,136,347,300.233734130859,996
5,"157523565","Desmognathus ochrophaeus",-984312.466338204,-519154.126219983,"1",2807,15194,166,308,1135.64904785156,1656
5,"157524438","Desmognathus ochrophaeus",-978881.971784615,-454508.860456985,"1",2834,14042,161,313,597.152648925781,1566
1,"157526267","Desmognathus ochrophaeus",-927239.350212077,-353688.886593862,"1",2834,12199,128,329,439.391998291016,1219
2,"157450601","Desmognathus ochrophaeus",-988749.685953705,-475146.427571034,"1",2835,16018,181,312,706.721130371094,1827
3,"157455695","Desmognathus ochrophaeus",-974383.468726541,-180831.998799599,"1",2817,12833,179,333,450.432769775391,1346
5,"157463849","Desmognathus ochrophaeus",-505040.457479389,38550.3899658689,"1",2790,12730,174,363,481.054626464844,1291
4,"157478619","Desmognathus ochrophaeus",-1280812.38251847,-653806.816723367,"1",2821,14478,166,285,1171.14392089844,1557
5,"157483167","Desmognathus ochrophaeus",-788216.961337744,-112998.824061975,"1",2814,10139,218,342,401.421752929688,1103
4,"157485785","Desmognathus ochrophaeus",-625877.970290995,-79631.9932551789,"1",2823,11261,128,345,170.757995605469,1092
1,"157485753","Desmognathus ochrophaeus",-954088.331098806,-427656.292916809,"1",2822,15350,148,316,761.043334960938,1617
2,"157486402","Desmognathus ochrophaeus",-979657.424084355,-400683.504165435,"1",2830,13880,162,311,648.543701171875,1495
5,"157486605","Desmognathus ochrophaeus",-827540.742831952,-157721.812955927,"1",2809,12095,185,338,510.228149414062,1318
3,"157492818","Desmognathus ochrophaeus",-911066.894987215,-406411.670850806,"1",2819,12913,153,320,762.593078613281,1384
4,"157493129","Desmognathus ochrophaeus",-952002.217285428,-478755.339459836,"1",2804,14743,193,307,1136.01037597656,1643
3,"157493539","Desmognathus ochrophaeus",-872762.857490044,-174715.696725423,"1",2814,12589,162,338,469.783294677734,1308
2,"157493787","Desmognathus ochrophaeus",-612134.740600057,-73737.5536063039,"1",2821,11868,118,345,174.849624633789,1134
3,"157499237","Desmognathus ochrophaeus",-880680.803654584,-195296.313116007,"1",2815,12918,169,336,510.623748779297,1367
1,"157509525","Desmognathus ochrophaeus",-1002000.01133793,-511947.56051991,"1",2807,15447,158,308,1198.7919921875,1686
3,"157510105","Desmognathus ochrophaeus",-648164.112130663,-138918.908181398,"1",2811,12164,201,343,457.086883544922,1323
1,"157512559","Desmognathus ochrophaeus",-902041.679587477,-226857.804629726,"1",2824,12886,180,336,455.675598144531,1412
3,"157520839","Desmognathus ochrophaeus",-552111.758040461,-76823.6488427075,"1",2813,12328,131,353,226.101760864258,1169
1,"157521009","Desmognathus ochrophaeus",-622368.767282975,-106111.609923893,"1",2806,14334,154,340,515.895080566406,1500
3,"157632611","Desmognathus ochrophaeus",-603307.391337357,-18932.013584066,"1",2807,16298,135,342,274.853576660156,1674
5,"157637300","Desmognathus ochrophaeus",-1084317.8303872,-636312.529165865,"1",2816,13739,161,295,1191.07421875,1509
2,"157642745","Desmognathus ochrophaeus",-877681.553424793,-108227.409089862,"1",2811,12538,177,317,477.853210449219,1270
1,"157529931","Desmognathus ochrophaeus",-1032240.97357191,-294492.981072112,"1",2840,9738,183,334,325.236083984375,1061
2,"157533506","Desmognathus ochrophaeus",-832219.973651774,-256577.518190071,"1",2810,14086,150,332,656.454467773438,1507
2,"157416810","Desmognathus ochrophaeus",-982552.000843043,-481184.710090593,"1",2813,17396,185,307,967.697387695312,1976
4,"157422483","Desmognathus ochrophaeus",-656833.882256464,-262557.157019504,"1",2820,13718,141,337,476.999420166016,1372
1,"157425300","Desmognathus ochrophaeus",-977858.282842567,-481782.267111815,"1",2822,16748,181,310,859.409118652344,1877
3,"157612383","Desmognathus ochrophaeus",-978632.332312247,-469251.068212906,"1",2824,16245,170,310,826.742004394531,1823
2,"157613667","Desmognathus ochrophaeus",-1041402.06504119,-550978.63134235,"1",2800,15533,142,306,1239.18603515625,1677
3,"157618428","Desmognathus ochrophaeus",-1085302.42689208,-187848.155015513,"1",2833,11249,142,334,283.847106933594,1118
2,"157623052","Desmognathus ochrophaeus",-835846.00929823,-97168.2649259292,"1",2812,12412,145,332,428.295135498047,1233
1,"157623136","Desmognathus ochrophaeus",-682292.017595268,-143450.17840257,"1",2811,11506,223,340,478.572021484375,1327
1,"157682192","Desmognathus ochrophaeus",-507418.998055009,44693.2143338199,"1",2790,13274,181,365,487.519226074219,1356
1,"157683605","Desmognathus ochrophaeus",-940851.360734132,-481908.683306944,"1",2850,9888,196,327,406.036987304688,1125
1,"157685328","Desmognathus ochrophaeus",-830796.097302719,-84481.4132067881,"1",2814,12131,125,334,370.572052001953,1197
1,"157692013","Desmognathus ochrophaeus",-1020855.40886849,-299716.148389601,"1",2839,10914,178,332,345.470031738281,1195
4,"157693799","Desmognathus ochrophaeus",-994061.09101652,-259058.410789482,"1",2834,11137,176,336,356.794494628906,1203
5,"157700694","Desmognathus ochrophaeus",-1061270.40414443,-165050.562725097,"1",2828,11757,126,319,318.546020507812,1093
3,"157703184","Desmognathus ochrophaeus",-674378.443568929,-100463.572819942,"1",2827,9151,207,342,160.926620483398,963
5,"157645348","Desmognathus ochrophaeus",-994424.525035939,-258587.47261456,"1",2833,11288,176,336,375.959808349609,1217
4,"157647187","Desmognathus ochrophaeus",-662073.107748451,-141980.720607168,"1",2816,10695,207,343,372.88525390625,1170
1,"157647209","Desmognathus ochrophaeus",-702272.967011662,-168150.887954533,"1",2824,9634,218,350,424.643707275391,1125
3,"157288660","Desmognathus ochrophaeus",-931028.119421108,-416459.277366708,"1",2819,14161,148,317,797.828063964844,1479
1,"157550393","Desmognathus ochrophaeus",-651671.289763983,-144368.191906709,"1",2810,10995,204,341,461.963104248047,1192
1,"157562504","Desmognathus ochrophaeus",-991963.953016281,-529947.678075743,"1",2799,15761,150,307,1260.6875,1690
2,"157570536","Desmognathus ochrophaeus",-702851.807787912,-168216.041302054,"1",2811,9923,219,342,489.828704833984,1160
3,"157572573","Desmognathus ochrophaeus",-535175.285130682,-85977.9975571298,"1",2816,11694,129,359,182.340942382812,1122
5,"157573672","Desmognathus ochrophaeus",-1066197.08688766,-223334.689821274,"1",2833,10221,168,339,322.92529296875,1103
5,"157578438","Desmognathus ochrophaeus",-731421.609726174,-90264.3502423641,"1",2813,10406,219,340,375.987091064453,1138
1,"157589007","Desmognathus ochrophaeus",-665423.169321051,-139744.731640676,"1",2822,9743,205,346,255.618545532227,1066
3,"157594947","Desmognathus ochrophaeus",-646553.989130008,-78701.3120905154,"1",2818,12258,149,341,274.090240478516,1208
3,"157598126","Desmognathus ochrophaeus",-665551.445285041,-139697.139692577,"1",2828,9828,203,350,183.634582519531,1074
4,"157602837","Desmognathus ochrophaeus",-483173.569373806,-190437.179063053,"1",2816,12146,106,353,405.815277099609,1223
4,"157606545","Desmognathus ochrophaeus",-950544.528167513,-380411.77929895,"1",2834,12188,137,323,482.310089111328,1240
1,"157710897","Desmognathus ochrophaeus",-830658.235757507,-101138.831019807,"1",2806,13688,155,332,535.966003417969,1360
5,"157717426","Desmognathus ochrophaeus",-675552.057164231,-153920.208100996,"1",2813,12585,223,343,468.641021728516,1448
2,"157724361","Desmognathus ochrophaeus",-973560.657348527,-507935.111752603,"1",2791,16314,188,303,1320.4990234375,1832
5,"157734457","Desmognathus ochrophaeus",-455156.2412227,-131325.923926764,"1",2816,12072,168,351,322.126312255859,1236
1,"157734612","Desmognathus ochrophaeus",-1012559.391447,-147303.32930611,"1",2830,12205,159,318,231.064086914062,1196
2,"157735163","Desmognathus ochrophaeus",-996062.035008967,-414274.610474964,"1",2841,13032,170,313,450.5068359375,1455
4,"157759721","Desmognathus ochrophaeus",-1080505.28147467,-193871.800545852,"1",2829,10513,144,335,334.790985107422,1066
5,"157765236","Desmognathus ochrophaeus",-1030195.86439181,-212826.475347712,"1",2830,11093,170,337,320.232849121094,1194
2,"157775709","Desmognathus ochrophaeus",-624203.529310889,-103145.431345875,"1",2803,12727,156,337,550.914489746094,1329
5,"157777715","Desmognathus ochrophaeus",-638298.95007068,-99645.8617681653,"1",2808,12459,166,339,492.192474365234,1289
2,"157782219","Desmognathus ochrophaeus",-455643.056882064,-129894.949496263,"1",2811,12265,168,348,372.142059326172,1257
2,"157787042","Desmognathus ochrophaeus",-663381.481811926,-140604.406912516,"1",2818,10021,207,344,346.024475097656,1097
4,"157791601","Desmognathus ochrophaeus",-434780.098983992,-88946.3907462139,"1",2822,11544,118,368,89.5887069702148,1140
3,"157662143","Desmognathus ochrophaeus",-954338.196512508,-492557.269447293,"1",2837,10836,194,319,655.994323730469,1221
4,"157662804","Desmognathus ochrophaeus",-1059471.39645782,-159091.097166119,"1",2832,11180,128,317,253.45280456543,1044
1,"157671559","Desmognathus ochrophaeus",-984213.654142092,-528309.46549994,"1",2820,12911,148,311,987.010131835938,1383
4,"157673309","Desmognathus ochrophaeus",-955556.197396251,-471981.277533492,"1",2811,15536,190,309,1069.86193847656,1739
5,"157674826","Desmognathus ochrophaeus",-940329.370501438,-133664.144810294,"1",2816,14276,152,317,436.941223144531,1421
1,"157805910","Desmognathus ochrophaeus",-660514.746480083,-136963.856298195,"1",2824,9372,206,347,241.920104980469,1024
5,"157828493","Desmognathus ochrophaeus",-900149.800648806,-180879.280153936,"1",2810,14078,172,332,571.036865234375,1498
2,"157844661","Desmognathus ochrophaeus",-956780.258673878,-373418.245107812,"1",2833,13139,153,321,495.082336425781,1378
3,"157852667","Desmognathus ochrophaeus",-869101.159263237,-158207.972187346,"1",2813,11718,158,338,465.694274902344,1196
3,"157854936","Desmognathus ochrophaeus",-636568.016099538,-160370.989704592,"1",2818,11823,187,346,333.9775390625,1275
1,"157857596","Desmognathus ochrophaeus",-849899.029808828,-149534.56481902,"1",2810,12852,173,337,513.97802734375,1337
4,"157939153","Desmognathus ochrophaeus",-644733.783800868,-62619.2979328354,"1",2820,12126,124,335,180.549041748047,1173
3,"157939956","Desmognathus ochrophaeus",-1282089.18795069,-650008.746356129,"1",2842,13450,167,294,877.743530273438,1460
5,"157940210","Desmognathus ochrophaeus",-985137.464817609,-302701.903466362,"1",2838,10609,167,333,349.322052001953,1147
1,"157943302","Desmognathus ochrophaeus",-1233745.62069488,-667362.128279881,"1",2824,13811,187,289,1108.87963867188,1570
1,"157947076","Desmognathus ochrophaeus",-646864.595663944,-66717.5112990355,"1",2824,11440,132,340,142.934677124023,1115
4,"157948776","Desmognathus ochrophaeus",-444926.53080658,-33240.6371894694,"1",2789,15513,70,365,568.223205566406,1404
2,"157949404","Desmognathus ochrophaeus",-1381457.74987831,-665002.222947303,"1",2866,12915,144,302,471.07568359375,1219
1,"157795590","Desmognathus ochrophaeus",-952969.44218057,-489587.185526577,"1",2840,11184,194,320,539.435974121094,1261
4,"157796031","Desmognathus ochrophaeus",-719628.025005113,-161542.286268169,"1",2817,10150,231,345,465.073883056641,1210
1,"157798025","Desmognathus ochrophaeus",-911813.577783824,-303694.80158073,"1",2831,13150,129,330,431.8701171875,1338
3,"157804509","Desmognathus ochrophaeus",-950226.800771003,-382120.865696052,"1",2838,11578,138,325,449.507446289062,1177
4,"157990813","Desmognathus ochrophaeus",-1280312.1447696,-653254.188595611,"1",2827,14683,165,287,1128.57641601562,1579
3,"157992197","Desmognathus ochrophaeus",-623120.94431958,-103725.31162099,"1",2802,13553,155,337,561.994873046875,1415
3,"158000256","Desmognathus ochrophaeus",-857409.145802246,-91564.3310678862,"1",2818,11993,143,325,331.644348144531,1178
2,"158000460","Desmognathus ochrophaeus",-624488.166409962,-108129.303120652,"1",2802,13758,158,338,526.464172363281,1448
4,"158011110","Desmognathus ochrophaeus",-657386.154091976,-259789.68742979,"1",2811,15019,136,331,653.619812011719,1488
5,"158015891","Desmognathus ochrophaeus",-956358.611428475,-479496.996116959,"1",2820,14262,194,312,1009.00970458984,1596
1,"158018465","Desmognathus ochrophaeus",-973704.96633401,-329209.814829934,"1",2842,10235,154,329,319.306732177734,1079
4,"158034200","Desmognathus ochrophaeus",-786897.93099694,-111305.510480359,"1",2811,10362,221,340,396.16357421875,1134
3,"158149031","Desmognathus ochrophaeus",-888507.395044332,-114059.217983655,"1",2810,13333,190,317,479.182800292969,1388
2,"158149221","Desmognathus ochrophaeus",-1139759.97964938,-677227.681850826,"1",2833,11343,144,296,953.085021972656,1187
1,"158153704","Desmognathus ochrophaeus",-891373.577479313,-326124.1540157,"1",2818,14231,138,325,682.573608398438,1432
1,"158155280","Desmognathus ochrophaeus",-1052305.90668017,-559454.564354314,"1",2821,13620,151,310,957.744750976562,1473
5,"158155533","Desmognathus ochrophaeus",-995668.517318229,-257271.617645976,"1",2831,11553,178,335,381.185302734375,1250
1,"158157912","Desmognathus ochrophaeus",-572828.101046933,-260213.402836577,"1",2822,12805,127,340,432.100250244141,1257
5,"158169556","Desmognathus ochrophaeus",-983473.39236498,-470738.094740917,"1",2834,15164,171,312,662.287109375,1703
3,"158173954","Desmognathus ochrophaeus",-663415.592596911,-149326.88607446,"1",2812,11051,211,341,458.146362304688,1220
1,"158194006","Desmognathus ochrophaeus",-909002.976187981,-338396.901013038,"1",2831,12320,132,331,470.188812255859,1242
4,"158197820","Desmognathus ochrophaeus",-573098.493424377,-262362.679255405,"1",2821,12664,128,339,419.490783691406,1242
2,"158206671","Desmognathus ochrophaeus",-574662.830056104,-233932.610384425,"1",2823,12613,135,344,397.794616699219,1252
2,"158212129","Desmognathus ochrophaeus",-988941.590757642,-473470.651933503,"1",2829,16458,179,309,760.112670898438,1874
1,"158213841","Desmognathus ochrophaeus",-847806.56119381,-147262.562814235,"1",2802,13723,175,332,635.651794433594,1434
4,"158218733","Desmognathus ochrophaeus",-1045662.9117608,-553500.967351109,"1",2811,14763,148,309,1076.623046875,1596
1,"157986189","Desmognathus ochrophaeus",-951594.754192453,-432777.954929084,"1",2821,14307,149,316,768.271118164062,1503
1,"157987253","Desmognathus ochrophaeus",-1224526.8615851,-666308.317902185,"1",2829,13345,177,293,1035.59350585938,1476
2,"158226111","Desmognathus ochrophaeus",-1076300.38421604,-523468.552861233,"1",2835,17016,175,305,734.484069824219,1924
3,"158227221","Desmognathus ochrophaeus",-950070.587148599,-491921.474849042,"1",2832,11037,197,317,721.273620605469,1246
4,"158374950","Desmognathus ochrophaeus",-902109.592521846,-226281.02480426,"1",2819,13348,181,333,478.020141601562,1463
1,"158375884","Desmognathus ochrophaeus",-461657.297764117,-183666.594271124,"1",2816,15803,113,349,464.149230957031,1572
2,"158134885","Desmognathus ochrophaeus",-989699.087246499,-255288.242871484,"1",2832,11204,171,336,364.026672363281,1198
5,"158136016","Desmognathus ochrophaeus",-893970.158300292,-368506.281744694,"1",2815,12897,149,320,756.709045410156,1318
5,"158136176","Desmognathus ochrophaeus",-990910.011951597,-256681.300491639,"1",2831,11341,172,335,379.644653320312,1215
1,"158143311","Desmognathus ochrophaeus",-454779.816381753,-13841.5424635055,"1",2779,15074,77,362,671.030212402344,1434
3,"158147002","Desmognathus ochrophaeus",-426858.092368915,36993.570367353,"1",2777,12210,149,372,638.865173339844,1210
2,"158147836","Desmognathus ochrophaeus",-544564.4449418,-192196.718774166,"1",2817,13008,118,350,459.24267578125,1270
4,"158337468","Desmognathus ochrophaeus",-648678.755749637,-151799.546719238,"1",2811,12743,209,342,456.268157958984,1400
5,"158339576","Desmognathus ochrophaeus",-662316.224735596,-148085.283419079,"1",2815,10968,211,343,437.427551269531,1209
4,"158340142","Desmognathus ochrophaeus",-1098514.57460166,-184396.311336148,"1",2834,9818,156,333,271.792816162109,996
4,"158340945","Desmognathus ochrophaeus",-1075056.12140393,-645615.881537964,"1",2842,11000,146,307,733.875427246094,1178
5,"158343666","Desmognathus ochrophaeus",-908263.749897584,-338816.052206247,"1",2829,12619,133,329,493.257202148438,1273
1,"158345642","Desmognathus ochrophaeus",-902814.736231488,-226020.231256382,"1",2822,13316,181,334,466.510559082031,1460
3,"158351099","Desmognathus ochrophaeus",-1084537.35618569,-636033.570627701,"1",2817,13653,163,295,1190.84802246094,1502
5,"158361349","Desmognathus ochrophaeus",-950995.854595644,-382954.93939973,"1",2839,11854,138,325,442.587615966797,1206
1,"158365578","Desmognathus ochrophaeus",-802514.710042562,-28578.0060039192,"1",2821,10177,128,312,144.953094482422,996
3,"158369017","Desmognathus ochrophaeus",-938099.383846402,-126913.27017821,"1",2818,13079,152,312,388.969451904297,1318
2,"158576072","Desmognathus ochrophaeus",-543619.36478214,-237273.613368046,"1",2822,11724,120,344,365.927856445312,1130
5,"158233113","Desmognathus ochrophaeus",-953221.643952886,-469564.78757521,"1",2806,15217,186,307,1121.43713378906,1689
2,"158514722","Desmognathus ochrophaeus",-836961.54782116,-106843.003871325,"1",2813,11470,156,334,396.168975830078,1146
1,"158236898","Desmognathus ochrophaeus",-655418.735708097,-259460.503876276,"1",2812,14977,136,331,654.731994628906,1484
1,"158239725","Desmognathus ochrophaeus",-612443.327596002,-102631.501545972,"1",2803,12986,146,338,503.820648193359,1348
3,"158319733","Desmognathus ochrophaeus",-1292274.92592607,-704304.352471387,"1",2864,12427,182,303,496.093475341797,1401
1,"158322496","Desmognathus ochrophaeus",-977755.169808617,-465731.737209359,"1",2834,14278,167,313,647.96923828125,1598
2,"158327053","Desmognathus ochrophaeus",-1281823.89975834,-663113.707248304,"1",2861,11294,177,302,486.519989013672,1247
3,"158595942","Desmognathus ochrophaeus",-618712.387392009,-106583.155829615,"1",2808,13677,151,341,461.768035888672,1429
2,"158527320","Desmognathus ochrophaeus",-552139.39773582,-76943.0411426133,"1",2813,12487,132,352,252.671859741211,1187
4,"158528280","Desmognathus ochrophaeus",-956512.374895623,-394481.016313802,"1",2827,13659,147,318,656.018127441406,1404
5,"158541122","Desmognathus ochrophaeus",-1285899.33967739,-654201.125343514,"1",2833,12267,165,290,920.342407226562,1323
1,"158543574","Desmognathus ochrophaeus",-948857.341437171,-474804.787604577,"1",2803,15474,192,306,1150.14978027344,1716
3,"158551475","Desmognathus ochrophaeus",-970477.890555718,-175024.311018405,"1",2820,12722,171,335,384.757629394531,1309
2,"158553420","Desmognathus ochrophaeus",-830702.798592552,-102290.505875035,"1",2807,13517,156,333,513.462097167969,1343
2,"158577660","Desmognathus ochrophaeus",-649499.241510715,-246135.161331402,"1",2812,13998,136,333,639.166625976562,1390
1,"158580760","Desmognathus ochrophaeus",-985455.182227166,-479759.716162994,"1",2814,17322,185,306,1042.93798828125,1977
4,"158584491","Desmognathus ochrophaeus",-806290.524682842,-288224.920331246,"1",2817,14082,151,333,574.002502441406,1487
3,"158572217","Desmognathus ochrophaeus",-867985.305707798,-169159.524572425,"1",2814,11784,163,338,501.162261962891,1226
4,"158650867","Desmognathus ochrophaeus",-977030.812357813,-462276.610702454,"1",2832,13727,166,313,633.701110839844,1537
2,"158555825","Desmognathus ochrophaeus",-495075.46127744,5268.6190141522,"1",2787,12972,133,362,543.0576171875,1274
2,"158557978","Desmognathus ochrophaeus",-1281055.95438342,-650147.112956875,"1",2834,13793,166,290,946.782409667969,1491
1,"158561475","Desmognathus ochrophaeus",-737828.452849105,-153298.386262252,"1",2815,9536,234,344,478.269866943359,1131
4,"158561793","Desmognathus ochrophaeus",-1007975.28730477,-508350.65369691,"1",2804,15111,174,305,1148.10266113281,1707
2,"158561797","Desmognathus ochrophaeus",-1054979.2841878,-185288.782508533,"1",2827,12329,127,335,344.067749023438,1184
